transaction_id,transaction_date,transaction_time,sales_outlet_id,staff_id,customer_id,instore_yn,order,line_item_id,product_id,quantity,line_item_amount,unit_price,promo_item_yn
7,4/1/2019,12:04:43,3,12,558,N,1,1,52,1,2.5,2.5,N
11,4/1/2019,15:54:39,3,17,781,N,1,1,27,2,7,3.5,N
19,4/1/2019,14:34:59,3,17,788,Y,1,1,46,2,5,2.5,N
32,4/1/2019,16:06:04,3,12,683,N,1,1,23,2,5,2.5,N
33,4/1/2019,19:18:37,3,17,99,Y,1,1,34,1,2.45,2.45,N
39,4/1/2019,18:54:46,3,17,664,Y,1,1,32,1,3,3,N
50,4/1/2019,13:03:49,3,12,316,N,1,1,49,2,6,3,N
53,4/1/2019,11:21:14,3,12,38,N,1,1,60,1,3.75,3.75,N
59,4/1/2019,19:30:55,3,12,370,Y,1,1,51,2,6,3,N
62,4/1/2019,12:01:00,3,12,180,Y,1,1,49,2,6,3,N
81,4/1/2019,13:20:51,3,12,35,Y,1,1,35,2,6.2,3.1,N
90,4/1/2019,11:40:20,3,17,595,N,1,1,47,1,3,3,N
91,4/1/2019,12:27:43,3,12,500,N,1,1,25,2,4.4,2.2,N
94,4/1/2019,17:37:02,3,17,128,Y,1,1,23,2,5,2.5,N
101,4/1/2019,12:26:34,3,17,599,Y,1,1,48,2,5,2.5,N
103,4/1/2019,14:33:32,3,17,152,Y,1,1,53,2,6,3,N
108,4/1/2019,16:11:18,3,17,65,N,1,1,40,1,3.75,3.75,N
112,4/1/2019,13:03:38,3,12,90,Y,1,1,37,2,6,3,N
117,4/1/2019,18:25:04,3,12,82,Y,1,1,60,1,3.75,3.75,N
120,4/1/2019,15:51:44,3,12,174,N,1,1,53,2,6,3,N
127,4/1/2019,13:58:40,3,12,116,N,1,1,41,2,8.5,4.25,N
134,4/1/2019,11:49:29,3,17,189,Y,1,1,38,2,7.5,3.75,N
135,4/1/2019,17:01:36,3,17,131,Y,1,1,40,1,3.75,3.75,N
137,4/1/2019,11:10:04,3,17,264,Y,1,1,40,1,3.75,3.75,N
138,4/1/2019,13:17:42,3,17,722,Y,1,1,38,1,3.75,3.75,N
141,4/1/2019,14:07:25,3,17,302,Y,1,1,50,1,2.5,2.5,N
143,4/1/2019,13:17:00,3,12,174,Y,1,1,59,2,9,4.5,N
150,4/1/2019,12:24:53,3,17,604,Y,1,1,28,1,2,2,N
156,4/1/2019,12:30:00,3,17,32,N,1,1,34,1,2.45,2.45,N
156,4/1/2019,12:30:00,3,17,32,N,1,5,77,1,3,3,N
162,4/1/2019,19:07:40,3,17,470,N,1,1,55,1,4,4,N
165,4/1/2019,16:44:46,3,12,127,Y,1,1,54,2,5,2.5,N
175,4/1/2019,19:54:12,3,17,553,Y,1,1,47,1,3,3,N
180,4/1/2019,17:52:36,3,17,518,Y,1,1,45,2,6,3,N
199,4/1/2019,14:24:55,3,12,112,Y,1,1,41,2,8.5,4.25,N
199,4/1/2019,14:24:55,3,12,112,Y,1,5,79,1,3.75,3.75,N
202,4/1/2019,17:26:58,3,17,437,N,1,1,37,2,6,3,N
212,4/1/2019,17:03:21,3,17,552,N,1,1,50,1,2.5,2.5,N
219,4/1/2019,15:03:55,3,12,194,Y,1,1,43,1,3,3,N
224,4/1/2019,14:54:27,3,17,788,N,1,1,38,2,7.5,3.75,N
226,4/1/2019,16:30:12,3,12,533,Y,1,1,40,1,3.75,3.75,N
227,4/1/2019,12:09:11,3,17,521,N,1,1,28,2,4,2,N
238,4/1/2019,15:48:10,3,17,512,Y,1,1,41,1,4.25,4.25,N
247,4/1/2019,19:04:32,3,17,178,Y,1,1,23,1,2.5,2.5,N
248,4/1/2019,14:30:49,3,12,416,Y,1,1,32,2,6,3,N
249,4/1/2019,11:15:38,3,12,22,Y,1,1,52,1,2.5,2.5,N
260,4/1/2019,18:14:31,3,12,642,Y,1,1,61,2,9.5,4.75,N
262,4/1/2019,11:52:08,3,12,189,N,1,1,58,1,3.5,3.5,N
268,4/1/2019,16:04:10,3,17,223,N,1,1,42,2,5,2.5,N
269,4/1/2019,19:25:00,3,12,40,Y,1,1,53,1,3,3,N
270,4/1/2019,11:27:00,3,17,344,N,1,1,49,1,3,3,N
276,4/1/2019,16:10:37,3,12,401,N,1,1,42,2,5,2.5,N
281,4/1/2019,11:27:06,3,12,189,N,1,1,31,2,4.4,2.2,N
290,4/1/2019,14:58:35,3,12,517,N,1,1,43,1,3,3,N
296,4/1/2019,14:49:18,3,17,328,Y,1,1,39,1,4.25,4.25,N
296,4/1/2019,14:49:18,3,17,328,Y,1,5,79,1,3.75,3.75,N
297,4/1/2019,12:05:26,3,12,331,N,1,1,48,2,5,2.5,N
298,4/1/2019,18:30:05,3,17,414,N,1,1,55,2,8,4,N
317,4/1/2019,19:57:08,3,12,567,N,1,1,48,1,2.5,2.5,N
325,4/1/2019,19:23:13,3,12,526,N,1,1,22,2,4,2,N
326,4/1/2019,12:05:31,3,12,659,N,1,1,52,2,5,2.5,N
334,4/1/2019,18:12:37,3,17,492,N,1,1,25,2,4.4,2.2,N
337,4/1/2019,18:14:17,3,17,655,Y,1,1,39,2,8.5,4.25,N
344,4/1/2019,17:28:16,3,12,500,Y,1,1,41,1,4.25,4.25,N
357,4/1/2019,15:34:10,3,12,530,N,1,1,41,2,8.5,4.25,N
357,4/1/2019,15:34:10,3,12,530,N,1,5,76,1,3.5,3.5,N
360,4/1/2019,15:30:57,3,17,114,Y,1,1,38,2,7.5,3.75,N
366,4/1/2019,18:33:47,3,17,301,N,1,1,51,1,3,3,N
384,4/1/2019,16:04:18,3,17,602,Y,1,1,54,2,5,2.5,N
385,4/1/2019,11:32:46,3,12,565,Y,1,1,31,2,4.4,2.2,N
389,4/1/2019,17:00:27,3,12,335,Y,1,1,29,1,2.5,2.5,N
390,4/1/2019,12:20:37,3,12,52,Y,1,1,25,1,2.2,2.2,N
391,4/1/2019,18:05:52,3,12,216,N,1,1,33,2,7,3.5,N
391,4/1/2019,18:05:52,3,12,216,N,1,5,79,1,3.75,3.75,N
396,4/1/2019,14:45:31,3,17,550,Y,1,1,47,1,3,3,N
405,4/1/2019,19:31:31,3,17,481,N,1,1,26,2,6,3,N
411,4/1/2019,12:23:27,3,12,516,N,1,1,22,2,4,2,N
413,4/1/2019,16:03:50,3,17,508,N,1,1,31,1,2.2,2.2,N
413,4/1/2019,16:03:50,3,17,508,N,1,5,76,1,3.5,3.5,N
421,4/1/2019,19:52:28,3,17,717,N,1,1,34,2,4.9,2.45,N
